Device,Acq Date,Acq Time,Time step,Voc,Jsc,VPP,MPP,FF,effic,V,J,Acq Min Voltage,Acq Max Voltage,Acq Start Voltage,Acq Step Voltage,Acq Gate Voltage,Acq Hold Time,Acq Num Aver Scans,Delay Before Meas,Num Track Points,PV mode,Track Interval,Device Area,Comments
,,,,,,,,,,1.0999999999999712,0.44471111111111106,,,,,,,,,,,,,
,,,,,,,,,,1.1999999999999709,0.4411777777777778,,,,,,,,,,,,,
,,,,,,,,,,1.2999999999999705,0.4383444444444444,,,,,,,,,,,,,
,,,,,,,,,,1.3999999999999702,0.43508888888888886,,,,,,,,,,,,,
,,,,,,,,,,1.4999999999999698,0.43110000000000004,,,,,,,,,,,,,
,,,,,,,,,,1.5999999999999694,0.4275111111111111,,,,,,,,,,,,,
,,,,,,,,,,1.699999999999969,0.4233888888888889,,,,,,,,,,,,,
,,,,,,,,,,1.7999999999999687,0.4195333333333333,,,,,,,,,,,,,
,,,,,,,,,,1.8999999999999684,0.41486666666666666,,,,,,,,,,,,,
,,,,,,,,,,1.999999999999968,0.41071111111111114,,,,,,,,,,,,,
,,,,,,,,,,2.0999999999999677,0.4061888888888889,,,,,,,,,,,,,
,,,,,,,,,,2.1999999999999673,0.4013222222222222,,,,,,,,,,,,,
,,,,,,,,,,2.299999999999967,0.3962111111111111,,,,,,,,,,,,,
,,,,,,,,,,2.3999999999999666,0.3911888888888889,,,,,,,,,,,,,
,,,,,,,,,,2.4999999999999662,0.3857333333333333,,,,,,,,,,,,,
,,,,,,,,,,2.599999999999966,0.3804444444444444,,,,,,,,,,,,,
,,,,,,,,,,2.6999999999999655,0.3734,,,,,,,,,,,,,
,,,,,,,,,,2.799999999999965,0.3646,,,,,,,,,,,,,
,,,,,,,,,,2.899999999999965,0.3534888888888889,,,,,,,,,,,,,
,,,,,,,,,,2.9999999999999645,0.34074444444444446,,,,,,,,,,,,,
,,,,,,,,,,3.099999999999964,0.32539999999999997,,,,,,,,,,,,,
,,,,,,,,,,3.1999999999999638,0.3093777777777778,,,,,,,,,,,,,
,,,,,,,,,,3.2999999999999634,0.2909333333333333,,,,,,,,,,,,,
,,,,,,,,,,3.399999999999963,0.26883333333333337,,,,,,,,,,,,,
,,,,,,,,,,3.4999999999999627,0.24394444444444444,,,,,,,,,,,,,
,,,,,,,,,,3.5999999999999623,0.21835555555555555,,,,,,,,,,,,,
,,,,,,,,,,3.699999999999962,0.18862222222222222,,,,,,,,,,,,,
,,,,,,,,,,3.7999999999999616,0.15713333333333335,,,,,,,,,,,,,
,,,,,,,,,,3.8999999999999613,0.12115555555555556,,,,,,,,,,,,,
,,,,,,,,,,3.999999999999961,0.07819666666666665,,,,,,,,,,,,,
,,,,,,,,,,4.099999999999961,0.03561333333333333,,,,,,,,,,,,,
,,,,,,,,,,4.19999999999996,-0.014675555555555556,,,,,,,,,,,,,
,,,,,,,,,,4.29999999999996,-0.06524666666666666,,,,,,,,,,,,,
,,,,,,,,,,4.3999999999999595,-0.1251888888888889,,,,,,,,,,,,,
,,,,,,,,,,4.499999999999959,-0.19253333333333333,,,,,,,,,,,,,
,,,,,,,,,,4.599999999999959,-0.26297777777777775,,,,,,,,,,,,,
,,,,,,,,,,4.699999999999958,-0.34515555555555555,,,,,,,,,,,,,
,,,,,,,,,,4.799999999999958,-0.4330888888888889,,,,,,,,,,,,,
,,,,,,,,,,4.899999999999958,-0.5336444444444444,,,,,,,,,,,,,
,,,,,,,,,,4.999999999999957,-0.6448222222222223,,,,,,,,,,,,,
