Device,Acq Date,Acq Time,Time step,Voc,Jsc,VPP,MPP,FF,effic,V,J,Acq Min Voltage,Acq Max Voltage,Acq Start Voltage,Acq Step Voltage,Acq Gate Voltage,Acq Hold Time,Acq Num Aver Scans,Delay Before Meas,Num Track Points,PV mode,Track Interval,Comments
,,,,,,,,,,1.7999999999999687,3.7838,,,,,,,,,,,,
,,,,,,,,,,1.8999999999999684,3.7506,,,,,,,,,,,,
,,,,,,,,,,1.999999999999968,3.7152000000000003,,,,,,,,,,,,
,,,,,,,,,,2.0999999999999677,3.6763,,,,,,,,,,,,
,,,,,,,,,,2.1999999999999673,3.6348000000000003,,,,,,,,,,,,
,,,,,,,,,,2.299999999999967,3.5942,,,,,,,,,,,,
,,,,,,,,,,2.3999999999999666,3.5503,,,,,,,,,,,,
,,,,,,,,,,2.4999999999999662,3.5025,,,,,,,,,,,,
,,,,,,,,,,2.599999999999966,3.4535,,,,,,,,,,,,
,,,,,,,,,,2.6999999999999655,3.3982,,,,,,,,,,,,
,,,,,,,,,,2.799999999999965,3.3273,,,,,,,,,,,,
,,,,,,,,,,2.899999999999965,3.2384,,,,,,,,,,,,
,,,,,,,,,,2.9999999999999645,3.1273,,,,,,,,,,,,
,,,,,,,,,,3.099999999999964,2.9909,,,,,,,,,,,,
,,,,,,,,,,3.1999999999999638,2.8433,,,,,,,,,,,,
,,,,,,,,,,3.2999999999999634,2.6742,,,,,,,,,,,,
,,,,,,,,,,3.399999999999963,2.4933,,,,,,,,,,,,
,,,,,,,,,,3.4999999999999627,2.2933,,,,,,,,,,,,
,,,,,,,,,,3.5999999999999623,2.0627,,,,,,,,,,,,
,,,,,,,,,,3.699999999999962,1.7988,,,,,,,,,,,,
,,,,,,,,,,3.7999999999999616,1.5096,,,,,,,,,,,,
,,,,,,,,,,3.8999999999999613,1.2023000000000001,,,,,,,,,,,,
,,,,,,,,,,3.999999999999961,0.85401,,,,,,,,,,,,
,,,,,,,,,,4.099999999999961,0.47657999999999995,,,,,,,,,,,,
,,,,,,,,,,4.19999999999996,0.02419,,,,,,,,,,,,
,,,,,,,,,,4.29999999999996,-0.44218999999999997,,,,,,,,,,,,
,,,,,,,,,,4.3999999999999595,-0.95531,,,,,,,,,,,,
,,,,,,,,,,4.499999999999959,-1.5393000000000001,,,,,,,,,,,,
,,,,,,,,,,4.599999999999959,-2.1774,,,,,,,,,,,,
,,,,,,,,,,4.699999999999958,-2.8758,,,,,,,,,,,,
,,,,,,,,,,4.799999999999958,-3.6549,,,,,,,,,,,,
,,,,,,,,,,4.899999999999958,-4.5288,,,,,,,,,,,,
,,,,,,,,,,4.999999999999957,-5.5145,,,,,,,,,,,,
