Device,Acq Date,Acq Time,Time step,Voc,Jsc,VPP,MPP,FF,effic,V,J,Acq Min Voltage,Acq Max Voltage,Acq Start Voltage,Acq Step Voltage,Acq Gate Voltage,Acq Hold Time,Acq Num Aver Scans,Delay Before Meas,Num Track Points,PV mode,Track Interval,Comments
,,,,,,,,,,1.7999999999999687,3.7954999999999997,,,,,,,,,,,,
,,,,,,,,,,1.8999999999999684,3.7611,,,,,,,,,,,,
,,,,,,,,,,1.999999999999968,3.7269,,,,,,,,,,,,
,,,,,,,,,,2.0999999999999677,3.6848,,,,,,,,,,,,
,,,,,,,,,,2.1999999999999673,3.6423,,,,,,,,,,,,
,,,,,,,,,,2.299999999999967,3.6008,,,,,,,,,,,,
,,,,,,,,,,2.3999999999999666,3.5564999999999998,,,,,,,,,,,,
,,,,,,,,,,2.4999999999999662,3.5102,,,,,,,,,,,,
,,,,,,,,,,2.599999999999966,3.4613,,,,,,,,,,,,
,,,,,,,,,,2.6999999999999655,3.4054,,,,,,,,,,,,
,,,,,,,,,,2.799999999999965,3.3302,,,,,,,,,,,,
,,,,,,,,,,2.899999999999965,3.2403999999999997,,,,,,,,,,,,
,,,,,,,,,,2.9999999999999645,3.1336999999999997,,,,,,,,,,,,
,,,,,,,,,,3.099999999999964,3.0082,,,,,,,,,,,,
,,,,,,,,,,3.1999999999999638,2.8671,,,,,,,,,,,,
,,,,,,,,,,3.2999999999999634,2.7055,,,,,,,,,,,,
,,,,,,,,,,3.399999999999963,2.5279000000000003,,,,,,,,,,,,
,,,,,,,,,,3.4999999999999627,2.3246,,,,,,,,,,,,
,,,,,,,,,,3.5999999999999623,2.0924,,,,,,,,,,,,
,,,,,,,,,,3.699999999999962,1.8379,,,,,,,,,,,,
,,,,,,,,,,3.7999999999999616,1.5608000000000002,,,,,,,,,,,,
,,,,,,,,,,3.8999999999999613,1.2610999999999999,,,,,,,,,,,,
,,,,,,,,,,3.999999999999961,0.91404,,,,,,,,,,,,
,,,,,,,,,,4.099999999999961,0.5341,,,,,,,,,,,,
,,,,,,,,,,4.19999999999996,0.12007000000000001,,,,,,,,,,,,
,,,,,,,,,,4.29999999999996,-0.34062,,,,,,,,,,,,
,,,,,,,,,,4.3999999999999595,-0.84242,,,,,,,,,,,,
,,,,,,,,,,4.499999999999959,-1.4294,,,,,,,,,,,,
,,,,,,,,,,4.599999999999959,-2.0565,,,,,,,,,,,,
,,,,,,,,,,4.699999999999958,-2.7603000000000004,,,,,,,,,,,,
,,,,,,,,,,4.799999999999958,-3.5384,,,,,,,,,,,,
,,,,,,,,,,4.899999999999958,-4.4043,,,,,,,,,,,,
,,,,,,,,,,4.999999999999957,-5.3841,,,,,,,,,,,,
